Headword,First Element,Definition,Part of Speech,Semantic Group,Frequency Rank
pius -a -um,pius,"dutiful, devoted, just, pious",Adjective: 1st and 2nd Declension,Personality Traits/Characteristics,748
placeō placēre placuī placitum,placeo,please,Verb: 2nd Conjugation,Social Life,287
plēbs plēbis f.,plebs,the common people,Noun: 3rd Declension,The City,649
plēnus -a -um,plenus,full,Adjective: 1st and 2nd Declension,Measurement,459
plērumque,plerumque,generally,Adverb,Measurement,974
plērus- plēra- plērumque,plerus,"the greater part, very many, most, the majority",Adjective: 1st and 2nd Declension,Measurement,968
poena -ae f.,poena,"penalty, punishment",Noun: 1st Declension,Justice,223
poēta -ae m.,poeta,poet,Noun: 1st Declension,Writing/Poetry,913
pondus ponderis n.,pondus,weight,Noun: 3rd Declension,Measurement,636
pōnō pōnere posuī positum,pono,"put, place; put aside",Verb: 3rd Conjugation -ō,Verbs of Transport,102
pontus -ī m.,pontus,"the open sea, the deep",Noun: 2nd Declension,Earth and Water,630
populus -ī m.,populus,people,Noun: 2nd Declension,The City,122
porta -ae f.,porta,gate,Noun: 1st Declension,The City,759
portō -āre,porto,carry a load,Verb: 1st Conjugation,Measurement,853
pōscō pōscere popōscī,posco,"demand, claim; inquire into",Verb: 3rd Conjugation -ō,Speech/Oratory,487
possum posse potuī,possum,be able,Verb: Irregular,Making/Doing,23
post,post,after (adv. and prep. +acc.),Preposition,Time,164
posteā,postea,afterwards,Adverb,Time,964
posterus -a -um,posterus,"next, later",Adjective: 1st and 2nd Declension,Time,877
postquam,postquam,after,Conjunction,Time,384
potēns potentis,potens,"able, powerful",Adjective: 3rd Declension,Personality Traits/Characteristics,567
potestās -ātis f.,potestas,power,Noun: 3rd Declension,The City,737
potis -e,potis,"powerful, able",Adjective: 3rd Declension,Personality Traits/Characteristics,947
praebeō -ēre -uī -itum,praebeo,"furnish, supply, render",Verb: 2nd Conjugation,Verbs of Transport,584
praeceptum -ī n.,praeceptum,"rule, precept; command",Noun: 2nd Declension,Justice,825
praecipiō -cipere -cēpī -ceptum,praecipio,"anticipate, advise, warn",Verb: 3rd Conjugation -iō,Speech/Oratory,945
praeda -ae f.,praeda,"booty, prey",Noun: 1st Declension,War and Peace,626
praemium -ī n.,praemium,"bounty, reward",Noun: 2nd Declension,Business/Money,680
praesēns -ntis,praesens,"present, in person, ready",Adjective: 3rd Declension,Place,822
praesidium -ī n.,praesidium,"garrison, protection",Noun: 2nd Declension,War and Peace,582
praestō -stāre -stitī -stitum,praesto,"excel, exhibit",Verb: 1st Conjugation,Other Senses,423
praeter,praeter,"by, along, past; besides, except (+ acc.)",Preposition,Place,756
praetereā,praeterea,"besides, moreover",Adverb,Conjunctions/Adverbs,681
praetor -ōris m.,praetor,"praetor, one of the chief Roman magistrates",Noun: 3rd Declension,The City,878
precor -ārī,precor,"pray, invoke",Verb: Deponent,Religion,492
premō premere pressī pressum,premo,"press, pursue, overwhelm",Verb: 3rd Conjugation -ō,War and Peace,240
pretium -ī n.,pretium,"price, worth, reward; pretium operae: a reward for trouble",Noun: 2nd Declension,Business/Money,629
prex precis f.,prex,"prayers, entreaties",Noun: 3rd Declension,Religion,520
prīmum,primum,"at first, firstly",Adverb,Time,252
prīmus -a -um,primus,first,Adjective: 1st and 2nd Declension,Time,91
prīnceps -cipis,princeps,"first, chief; (as subst.) leader, person in charge",Adjective: 3rd Declension,The City,317
prīncipium -ī n.,principium,beginning,Noun: 2nd Declension,Time,948
prior prius,prior,"earlier, preceding",Adjective: 3rd Declension,Time,526
prīvātus -a -um,privatus,"personal, private",Adjective: 1st and 2nd Declension,Social Life,882
prius or priusquam,prius,before,Adverb,Time,484
prō,pro,"for, on behalf of, in proportion to (+abl.)",Preposition,Non-Directional Prepositions,128
probō -āre,probo,"approve, prove; convince one (dat.) of a thing (acc.)",Verb: 1st Conjugation,Verbs of Compelling/Directing,784
prōcēdō -cēdere -cessī -cessum,procedo,"go forth, advance",Verb: 3rd Conjugation -ō,Motion,746
procul,procul,at a distance,Adverb,Place,397
prōdō prōdere prōdidī prōditum,prodo,"publish, hand down; give over, betray",Verb: 3rd Conjugation -ō,Verbs of Transport,929
proelium -ī n.,proelium,battle,Noun: 2nd Declension,War and Peace,348
proficīscor -ficīscī -fectus sum,proficiscor,"set forth, go",Verb: Deponent,Travel,835
prohibeō -ēre -uī -itum,prohibeo,"restrain, keep away",Verb: 2nd Conjugation,Verbs of Compelling/Directing,604
prōmittō -mittere -mīsī -missum,promitto,"send forth, offer",Verb: 3rd Conjugation -ō,Verbs of Compelling/Directing,720
prope,prope,"near, next; (comp.) propior, (superl.) proximus; (adv.) prope, nearly, almost",Preposition,Place,189
properō -āre,propero,"hasten, speed",Verb: 1st Conjugation,Motion,537
prōpōnō -pōnere -posuī -positum,propono,"put forth, propose, present",Verb: 3rd Conjugation -ō,Speech/Oratory,930
proprius -a -um,proprius,"one’s own, peculiar",Adjective: 1st and 2nd Declension,Pronouns/Interrogatives,854
propter,propter,because of (+ acc.),Preposition,Non-Directional Prepositions,560
prōsum prodesse profuī,prosum,"be of use, do good, help (+ dat.)",Verb: Irregular,Social Life,373
prōtinus,protinus,"at once, forthwith",Adverb,Time,903
prōvincia -ae f.,provincia,province; official duty,Noun: 1st Declension,The City,620
pūblicus -a -um,publicus,"public, belonging to the state",Adjective: 1st and 2nd Declension,The City,517
pudor pudōris m.,pudor,"sense of shame, modesty, propriety",Noun: 3rd Declension,Personality Traits/Characteristics,616
puella -ae f.,puella,girl; girl-friend,Noun: 1st Declension,People,233
puer puerī m.,puer,boy; slave,Noun: 2nd Declension,People,191
pūgna -ae f.,pugna,fist-fight; battle,Noun: 1st Declension,Violence,650
pugnō -āre,pugno,fight,Verb: 1st Conjugation,Violence,708
pulcher -chra -chrum,pulcher,beautiful,Adjective: 1st and 2nd Declension,Vision,569
putō -āre,puto,"think, suppose",Verb: 1st Conjugation,Education/Knowledge,166
quā,qua,"where, how",Pronoun,Pronouns/Interrogatives,336
quaerō -rere -sīvī -sītum,quaero,"seek, inquire",Verb: 3rd Conjugation -ō,Education/Knowledge,113
quālis -e,qualis,of what kind? what?,Pronoun,Pronouns/Interrogatives,263
quam,quam,how?; (after comparative) than,Adverb,Pronouns/Interrogatives,29
quamquam,quamquam,"however, although",Conjunction,Conjunctions/Adverbs,644
quamvīs,quamvis,however you like; although,Adverb,Conjunctions/Adverbs,489
quandō,quando,when?; since; sī quandō: if ever,Adverb,Pronouns/Interrogatives,621
quantum,quantum,(adv.) how much? how greatly? how much! how greatly! as much as,Adverb,Pronouns/Interrogatives,557
quantus -a -um,quantus,"(interr.) how great? (rel.) of what size, amount, etc. (as subst.) what amount? (rel.) which amount; quantī, at what price? (rel.) at which price",Pronoun,Pronouns/Interrogatives,311
quārē,quare,how? why?,Adverb,Pronouns/Interrogatives,786
quasi,quasi,as if,Adverb,Conjunctions/Adverbs,938
quattuor,quattuor,four,Adjective: Numeral,Measurement,867
que,que,and (postpositive enclitic),Conjunction,Conjunctions/Adverbs,4
quemadmodum,quemadmodum,"in what manner, how",Adverb,Pronouns/Interrogatives,531
queror querī questus sum,queror,"complain of, lament",Verb: Deponent,Emotions,518
quī quae quod,qui,"who, which, what",Pronoun,Pronouns/Interrogatives,3
quia,quia,because,Conjunction,Conjunctions/Adverbs,132
quīcumque quaecumque quodcumque,quicumque,"who-, whatever",Pronoun,Pronouns/Interrogatives,284
quīdam quaedam quoddam,quidam,"a certain one, someone",Pronoun,Pronouns/Interrogatives,126
quidem,quidem,"certainly, at least",Adverb,Conjunctions/Adverbs,136
quiēscō quiēscere quiēvī quiētum,quiesco,keep quiet; sleep,Verb: 3rd Conjugation -ō,Life and Being,969
quīn,quin,"(adv.) indeed, in fact; (conjunction) so that ... not (+ subj.)",Adverb,Conjunctions/Adverbs,456
quīppe,quippe,"(adv.) indeed, surely",Adverb,Conjunctions/Adverbs,499
quis quid,quis,who? what? which?,Pronoun,Pronouns/Interrogatives,212
quisquam quicquam/quidquam,quisquam,"any (single) person, anyone at all",Pronoun,Pronouns/Interrogatives,12
quisque quaeque quidque,quisque,"each one, everyone",Pronoun,Pronouns/Interrogatives,197
quisquis quidquid,quisquis,"whoever, whichever",Pronoun,Pronouns/Interrogatives,129
quō,quo,"for which reason; to or in what place; to what end, for what purpose?",Adverb,Pronouns/Interrogatives,305
quōmodo,quomodo,"in what way, how?",Conjunction,Pronouns/Interrogatives,831
quondam,quondam,"formerly, once",Adverb,Time,542
quoniam,quoniam,"since, seeing that",Conjunction,Conjunctions/Adverbs,510
quoque,quoque,"also, too",Conjunction,Conjunctions/Adverbs,76
quotiēns,quotiens,"interr. how many times? how often? rel. as often as, whenever",Adverb,Pronouns/Interrogatives,970
rapiō rapere rapuī raptum,rapio,"seize, tear away",Verb: 3rd Conjugation -iō,Violence,273
rārus -a -um,rarus,"wide apart, loose, thin; rare, seldom",Adjective: 1st and 2nd Declension,Measurement,752
ratiō -ōnis f.,ratio,"method, plan, reason",Noun: 3rd Declension,Education/Knowledge,256
recēdō -cēdere -cessī -cessum,recedo,"step back, recoil, recede, withdraw",Verb: 3rd Conjugation -ō,Motion,826
recēns -ntis,recens,"fresh, new",Adjective: 3rd Declension,Time,781
recipiō -cipere -cēpī -ceptum,recipio,"take back, receive; sē recipere, betake oneself, go",Verb: 3rd Conjugation -iō,Verbs of Transport,319
rēctus -a -um,rectus,"straight, direct",Adjective: 1st and 2nd Declension,Measurement,823
reddō -dere -didī -ditum,reddo,"return, give back",Verb: 3rd Conjugation -ō,Verbs of Transport,174
redeō -īre -iī -itum,redeo,"go back, return",Verb: Irregular,Motion,301
referō referre rettulī relātum,refero,bring back; report,Verb: Irregular,Verbs of Transport,171
regiō -ōnis f.,regio,"boundary, region",Noun: 3rd Declension,Geography,585
rēgius -a -um,regius,"kingly, royal",Adjective: 1st and 2nd Declension,Personality Traits/Characteristics,561
rēgnum -ī n.,regnum,"kingship, kingdom",Noun: 2nd Declension,Geography,121
regō regere rēxī rēctum,rego,"guide, rule",Verb: 3rd Conjugation -ō,The City,554
relinquō -linquere -līquī -lictum,relinquo,abandon,Verb: 3rd Conjugation -ō,Motion,144
reliquus -a -um,reliquus,"remaining, rest",Adjective: 1st and 2nd Declension,Measurement,788
reor rērī rātus sum,reor,"think, imagine, suppose, deem",Verb: Deponent,Education/Knowledge,774
reperiō -perīre -pperī -pertum,reperio,"find, find out",Verb: 4th Conjugation,Education/Knowledge,765
repetō -petere -petīvī -petītum,repeto,"demand, exact; revisit; call to mind, recollect; repeat",Verb: 3rd Conjugation -ō,Verbs of Compelling/Directing,651
rēs reī f.,res,"thing (rēs pūblica, commonwealth; rēs familiāris, family property, estate; rēs mīlitāris, art of war; rēs novae, revolution)",Noun: 5th Declension,Life and Being,38
respicio -ere -spēxī -spectum,respicio,"look back, regard, consider",Verb: 3rd Conjugation -iō,Vision,722
respondeō -spondēre -spondī -spōnsum,respondeo,answer,Verb: 2nd Conjugation,Speech/Oratory,535
retineō -tinēre -tinuī -tentum,retineo,"hold back, keep",Verb: 2nd Conjugation,Verbs of Compelling/Directing,647
revertō -vertere -vertī,reverto,turn back,Verb: 3rd Conjugation -ō,Motion,995
revocō -āre,revoco,"call back, recall",Verb: 1st Conjugation,Social Life,813
reus -ī m.,reus,defendant,Noun: 2nd Declension,Justice,888
rēx rēgis m.,rex,king,Noun: 3rd Declension,The City,60
rīdeō -ēre rīsī rīsum,rideo,"laugh, laugh at",Verb: 3rd Conjugation -ō,Emotions,874
rīpa -ae f.,ripa,bank of a river,Noun: 1st Declension,Earth and Water,662
rogō -āre,rogo,ask,Verb: 1st Conjugation,Speech/Oratory,551
rumpō rumpere rūpī ruptum,rumpo,"break, rupture",Verb: 3rd Conjugation -ō,Violence,480
rūrsus,rursus,"back, again",Adverb,Place,440
rūs rūris n.,rus,country,Noun: 3rd Declension,Geography,879
sacer sacra sacrum,sacer,"holy, sacred",Adjective: 1st and 2nd Declension,Religion,398
sacerdōs -dōtis m./f.,sacerdos,"priest, priestess",Noun: 3rd Declension,Religion,939
saeculum -ī n.,saeculum,"generation, age, century",Noun: 2nd Declension,Lengths of Time,776
saepe,saepe,often,Adverb,Time,145
saevus -a -um,saevus,"fierce, raging, wrathful",Adjective: 1st and 2nd Declension,Personality Traits/Characteristics,244
salūs -ūtis f.,salus,"health, safety",Noun: 3rd Declension,Life and Being,549
sānctus -a -um,sanctus,"sacred, inviolable",Adjective: 1st and 2nd Declension,Religion,659
sanguis -inis m.,sanguis,blood,Noun: 3rd Declension,The Body,214
sānus -a -um,sanus,"sound, sane",Adjective: 1st and 2nd Declension,Life and Being,946
sapiēns -ntis,sapiens,"wise; (as subst.) wise man, sage, philosopher",Adjective: 3rd Declension,Education/Knowledge,453
sapientia -ae f.,sapientia,wisdom,Noun: 1st Declension,Education/Knowledge,797
"satis, sat",satis,"enough, sufficient, sufficiently",Adverb,Measurement,341
saxum -ī n.,saxum,"rock, cliff, crag",Noun: 2nd Declension,Earth and Water,306
scelus -eris n.,scelus,"crime, sin",Noun: 3rd Declension,Justice,154
scientia -ae f.,scientia,knowledge,Noun: 1st Declension,Education/Knowledge,971
scīlicet,scilicet,"certainly, of course",Adverb,Conjunctions/Adverbs,889
sciō -īre -īvī/-iī -ītum,scio,know,Verb: 4th Conjugation,Education/Knowledge,172
scrībō scrībere scrīpsī scrīptum,scribo,write,Verb: 3rd Conjugation -ō,Writing/Poetry,568
secundus -a -um,secundus,following; favorable; (as numeral) second,Adjective: 1st and 2nd Declension,Measurement,836
sēcūrus -a -um,securus,"free from care, tranquil; careless",Adjective: 1st and 2nd Declension,Personality Traits/Characteristics,697
sed,sed,but,Conjunction,Conjunctions/Adverbs,20
sedeō sedēre sēdī sessum,sedeo,sit,Verb: 2nd Conjugation,The House,506
sēdēs -is f.,sedes,"seat, abode, habitation",Noun: 3rd Declension,The House,403
semel,semel,once,Adverb,Time,789
semper,semper,"always, ever",Adverb,Time,149
senātus -ūs m.,senatus,senate,Noun: 4th Declension,The City,329
senex -is m.,senex,"old man, elder; senior, older",Noun: 3rd Declension,People,558
sēnsus -ūs m.,sensus,"feeling, emotion, sense",Noun: 4th Declension,Emotions,793
sententia -ae f.,sententia,"opinion, judgment",Noun: 1st Declension,Education/Knowledge,586
sentiō sentīre sēnsī sēnsum,sentio,"perceive, feel, hear, see",Verb: 4th Conjugation,Other Senses,302
sepulcrum -ī n.,sepulcrum,"place of burial, tomb, grave",Noun: 2nd Declension,Life and Being,949
sequor sequī secūtus sum,sequor,follow,Verb: Deponent,Motion,108
sermō -ōnis m.,sermo,"conversation, discourse",Noun: 3rd Declension,Speech/Oratory,575
serviō -īre,servio,"be a slave, serve (+ dat.)",Verb: 4th Conjugation,The Household,883
servō -āre,servo,"save, watch over",Verb: 1st Conjugation,The Household,289
servus -ī m.,servus,slave,Noun: 2nd Declension,The Household,496
seu,seu,whether; seu ... seu: whether ... or → sīve,Conjunction,Conjunctions/Adverbs,343
sī,si,if,Conjunction,Conjunctions/Adverbs,16
sīc,sic,"in this manner, thus; sīc ... ut: in the same way as",Adverb,Conjunctions/Adverbs,79
sīcut,sicut,just as,Adverb,Conjunctions/Adverbs,791
sīdus -eris n.,sidus,"star, constellation",Noun: 3rd Declension,Air and Fire,359
sīgnum -ī n.,signum,"sign, standard, mark",Noun: 2nd Declension,War and Peace,261
silva -ae f.,silva,"forest, grove",Noun: 1st Declension,Animals/Plants,234
similis -e,similis,"like, similar",Adjective: 3rd Declension,Personality Traits/Characteristics,414
simul,simul,at the same time,Adverb,Time,274
sine,sine,without (+ abl.),Preposition,Non-Directional Prepositions,104
singulī -ae -a,singuli,one each,Adjective: 1st and 2nd Declension,Measurement,507
sinō sinere sīvī situm,sino,"allow, let go",Verb: 3rd Conjugation -ō,Verbs of Compelling/Directing,717
sinus -ūs m.,sinus,"fold of a garment; lap, bay, gulf",Noun: 4th Declension,Earth and Water,478
sīve,sive,whether; sīve ... sīve: whether ... or → seu,Conjunction,Conjunctions/Adverbs,362
socius -a -um,socius,"friendly, allied; socius -ī m.: partner, comrade",Adjective: 1st and 2nd Declension,Social Life,372
sōl sōlis m.,sol,sun,Noun: 3rd Declension,Air and Fire,320
soleō -ēre -uī -itum,soleo,be accustomed,Verb: 2nd Conjugation,Personality Traits/Characteristics,246
sōlum,solum,"only, merely",Adverb,Measurement,897
solvō solvere solvī solūtum,solvo,"release, set sail",Verb: 2nd Conjugation,Travel,325
sōlus -a -um,solus,"only, alone",Adjective: 1st and 2nd Declension,Measurement,176
somnus -ī m.,somnus,"sleep, slumber; (pl.) dreams",Noun: 2nd Declension,Life and Being,438
sonō sonāre sonuī sonitum,sono,"sound, resound",Verb: 1st Conjugation,Other Senses,583
soror -ōris f.,soror,sister,Noun: 3rd Declension,The Household,497
sors sortis f.,sors,"lot, fate, destiny; oracle",Noun: 3rd Declension,Religion,639
spargō spargere sparsī sparsum,spargo,scatter,Verb: 3rd Conjugation -ō,Earth and Water,532
spatium -ī n.,spatium,space,Noun: 2nd Declension,Air and Fire,426
speciēs -ēī f.,species,"aspect, appearance",Noun: 5th Declension,Vision,599
spectō -āre,specto,"look at, consider",Verb: 1st Conjugation,Vision,473
spērō -āre,spero,to hope,Verb: 1st Conjugation,Emotions,648
spēs speī f.,spes,hope,Noun: 5th Declension,Emotions,232
spīritus -ūs m.,spiritus,"breath, life, spirit",Noun: 4th Declension,Life and Being,703
statim,statim,immediately,Adverb,Time,798
statuō -ere -uī -ūtum,statuo,"set up, determine",Verb: 3rd Conjugation -ō,Justice,678
stella -ae f.,stella,star,Noun: 1st Declension,Air and Fire,934
stō stāre stetī statum,sto,stand,Verb: 1st Conjugation,Life and Being,168
studeō -ēre -uī,studeo,"be eager, be zealous, care for (+ dat.)",Verb: 2nd Conjugation,Emotions,989
studium -ī n.,studium,"eagerness, zeal",Noun: 2nd Declension,Emotions,450
sub,sub,"under, close to (+acc. or abl.)",Preposition,Place,118
subeō -īre -iī -itum,subeo,go under; endure,Verb: Irregular,Motion,538
subitō,subito,"suddenly, unexpectedly",Adverb,Time,848
sui sibi sē/sēsē,sui,"him- her- itself, themselves",Pronoun,Pronouns/Interrogatives,17
sum esse fuī futūrum,sum,"be, exist; fut. infin. often = fore, impf. subj. often = forem for essem",Verb: Irregular,Life and Being,2
sūmō sūmere sūmpsī sūmptum,sumo,take up,Verb: 3rd Conjugation -ō,Motion,454
super,super,over (adv. and prep. +acc.),Adverb,Place,401
superbus -a -um,superbus,"overbearing, proud, haughty",Adjective: 1st and 2nd Declension,Personality Traits/Characteristics,656
superī -ōrum m. pl.,superi,"those above, i.e. the gods",Noun: 2nd Declension,Religion,714
superō -āre,supero,"overcome, surpass, defeat",Verb: 1st Conjugation,War and Peace,668
supersum -esse -fuī,supersum,"remain, survive; be superfluous (to)",Verb: Irregular,Place,623
superus -a -um,superus,"situated above, upper",Adjective: 1st and 2nd Declension,Religion,99
supplicium -ī n.,supplicium,"punishment, penalty",Noun: 2nd Declension,Justice,683
suprā,supra,"above, beyond (adv. and prep. +acc.)",Preposition,Place,588
surgō surgere surrēxī surrēctum,surgo,rise,Verb: 3rd Conjugation -ō,Earth and Water,570
suscipiō -cipere -cēpī ceptum,suscipio,take up,Verb: 3rd Conjugation -iō,Verbs of Transport,937
sustineō sustinēre sustinuī sustentum,sustineo,"hold up, sustain",Verb: 2nd Conjugation,Social Life,762
suus -a -um,suus,"his own, her own, its own",Adjective: 1st and 2nd Declension,Pronouns/Interrogatives,27
taceō -ēre -uī -itum,taceo,"be silent; tacitus -a -um, silent",Verb: 2nd Conjugation,Other Senses,369
tālis tāle,talis,such,Adjective: 3rd Declension,Measurement,203
tam,tam,"so, so much",Adverb,Conjunctions/Adverbs,96
tamen,tamen,"nevertheless, still",Conjunction,Conjunctions/Adverbs,58
tamquam,tamquam,"so as, just as",Adverb,Conjunctions/Adverbs,363
tandem,tandem,finally,Adverb,Conjunctions/Adverbs,427
tangō tangere tetigī tāctum,tango,touch,Verb: 3rd Conjugation -ō,Other Senses,534
"tantum, tantummodo",tantum,only,Adverb,Measurement,216
tantus -a -um,tantus,"so great, so much; (as pronoun) such a quantity, so much; tantī, at such a price, of such worth",Adjective: 1st and 2nd Declension,Measurement,105
tardus -a -um,tardus,"slow, sluggish, lingering",Adjective: 1st and 2nd Declension,Time,738
tēctum -ī n.,tectum,"roof; building, house",Noun: 2nd Declension,The House,386
tegō tegere tēxī tēctum,tego,"cover, conceal",Verb: 3rd Conjugation -ō,Deception,376
tellus tellūris f.,tellus,earth,Noun: 3rd Declension,Earth and Water,337
tēlum -ī n.,telum,"missile, weapon, spear",Noun: 2nd Declension,War and Peace,255
tempestas -tātis f.,tempestas,"period of time, season; bad weather, storm",Noun: 3rd Declension,Lengths of Time,753
templum -ī n.,templum,consecrated ground; temple,Noun: 2nd Declension,Religion,485
tempus -oris n.,tempus,time,Noun: 3rd Declension,Time,89
tendō tendere tetendī tentum,tendo,"stretch, extend, direct (one’s steps or course)",Verb: 3rd Conjugation -ō,Travel,529
tenebrae -brārum f. pl.,tenebrae,"darkness, the shadows",Noun: 1st Declension,Vision,775
teneō -ēre -uī tentum,teneo,"hold, keep",Verb: 2nd Conjugation,Other Senses,106
tener -era -erum,tener,tender,Adjective: 1st and 2nd Declension,Other Senses,490
temptō -āre,tempto,"try, test",Verb: 1st Conjugation,Making/Doing,430
tergum -ī n.,tergum,"back, rear; ā tergō: from the rear",Noun: 2nd Declension,The Body,474
terra -ae f.,terra,land,Noun: 1st Declension,Earth and Water,70
terreō terrēre terruī territum,terreo,"terrify, frighten",Verb: 2nd Conjugation,Emotions,705
tertius -a -um,tertius,third,Adjective: 1st and 2nd Declension,Measurement,682
testis -is m.,testis,witness,Noun: 3rd Declension,Justice,741
timeō -ēre -uī,timeo,"to fear, to dread",Verb: 2nd Conjugation,Emotions,153
timor -ōris m.,timor,fear,Noun: 3rd Declension,Emotions,536
tollō tollere sustulī sublātum,tollo,"raise up, destroy",Verb: Irregular,Violence,293
tot,tot,so many,Adverb,Measurement,259
tōtus -a -um,totus,"whole, entire",Adjective: 1st and 2nd Declension,Measurement,78
trādō -dere -didī -ditum,trado,"hand over, yield",Verb: 3rd Conjugation -ō,Business/Money,297
trahō trahere trāxī trāctum,traho,"drag, draw",Verb: 3rd Conjugation -ō,Verbs of Compelling/Directing,213
trānseō -īre -iī -itum,transeo,go across,Verb: Irregular,Travel,431
trēs tria,tres,three,Adjective: Numeral,Measurement,533
tribūnus -ī m.,tribunus,"tribune, title of various Roman officials, as mīlitum, plēbis, aerāriī",Noun: 2nd Declension,The City,807
trīstis -e,tristis,"sad, solemn, grim",Adjective: 3rd Declension,Emotions,275
tū tuī tibi tē,tu,you (sing.),Pronoun,Pronouns/Interrogatives,9
tum or tunc,tum,then,Adverb,Time,56
turba -ae f.,turba,"crowd, uproar",Noun: 1st Declension,The City,323
turbō -āre,turbo,"disturb, confuse",Verb: 1st Conjugation,Speech/Oratory,868
turpis -e,turpis,"ugly, unsightly; disgraceful",Adjective: 3rd Declension,Other Senses,377
tūtus -a -um,tutus,"safe, protected",Adjective: 1st and 2nd Declension,War and Peace,365
tuus -a -um,tuus,your,Adjective: 1st and 2nd Declension,Pronouns/Interrogatives,44
vacō vacāre,vaco,"be empty, open, unoccupied",Verb: 1st Conjugation,Measurement,724
vacuus -a -um,vacuus,empty,Adjective: 1st and 2nd Declension,Measurement,673
vagus -a -um,vagus,"wandering, shifting",Adjective: 1st and 2nd Declension,Travel,674
valeō valēre valuī,valeo,"be strong, excel, be valid, prevail; valē: farewell!",Verb: 2nd Conjugation,Social Life,539
validus -a -um,validus,strong,Adjective: 1st and 2nd Declension,Personality Traits/Characteristics,816
vanus -a -um,vanus,"empty; false, deceitful",Adjective: 1st and 2nd Declension,Deception,856
varius -a -um,varius,"changing, varied, various",Adjective: 1st and 2nd Declension,Other Senses,631
vātēs -is m.,vates,"poet, bard",Noun: 3rd Declension,Writing/Poetry,684
ubi,ubi,"where, when",Adverb,Place,92
ve,ve,or (postpositive enclitic),Conjunction,Conjunctions/Adverbs,307
vehō vehere vēxī vectum,veho,"carry; vehor vehī vectus sum: travel, ride",Verb: 3rd Conjugation -ō,Travel,632
vel,vel,"or else, or; even; vel ... vel: either … or",Conjunction,Conjunctions/Adverbs,141
velut,velut,"even as, just as",Adverb,Conjunctions/Adverbs,447
veniō venīre vēnī ventum,venio,come,Verb: 4th Conjugation,Motion,63
ventus -ī m.,ventus,wind,Noun: 2nd Declension,Air and Fire,269
verbum -ī n.,verbum,word,Noun: 2nd Declension,Writing/Poetry,188
vērē,vere,truly,Adverb,Speech/Oratory,983
vereor verērī veritus sum,vereor,"fear, stand in awe of",Verb: Deponent,Emotions,884
vērō,vero,"in fact, certainly, without doubt",Adverb,Conjunctions/Adverbs,280
vertō vertere vertī versum,verto,turn,Verb: 3rd Conjugation -ō,Motion,288
vērus -a -um,verus,true,Adjective: 1st and 2nd Declension,Speech/Oratory,410
vester vestra vestrum,vester,your,Adjective: 1st and 2nd Declension,Pronouns/Interrogatives,282
vestīgium -ī n.,vestigium,"footstep, footprint, track",Noun: 2nd Declension,Travel,716
vestis -is f.,vestis,"garment, robe, clothing",Noun: 3rd Declension,Life and Being,413
vetō -āre vetuī vetītum,veto,forbid,Verb: 1st Conjugation,Verbs of Compelling/Directing,665
vetus veteris,vetus,old,Adjective: 3rd Declension,Time,295
via -ae f.,via,"way, street",Noun: 1st Declension,Travel,196
vīcīnus -a -um,vicinus,"neighboring, near",Adjective: 1st and 2nd Declension,Geography,940
victor -ōris m.,victor,conqueror,Noun: 3rd Declension,War and Peace,340
victōria -ae f.,victoria,victory,Noun: 1st Declension,War and Peace,750
videō vidēre vīdī vīsum,video,see,Verb: 2nd Conjugation,Vision,31
vincō vincere vīcī victum,vinco,conquer,Verb: 3rd Conjugation -ō,War and Peace,101
vinculum -ī n.,vinculum,"bond, fetter, tie",Noun: 2nd Declension,War and Peace,594
vīnum -ī n.,vinum,"vine, wine",Noun: 2nd Declension,Animals/Plants,640
vir virī m.,vir,man,Noun: 2nd Declension,People,85
virgō -inis f.,virgo,"maiden, virgin, girl",Noun: 3rd Declension,People,418
virtūs -ūtis f.,virtus,"valor, manliness, virtue",Noun: 3rd Declension,Personality Traits/Characteristics,111
vīs f.,vis,"force; (acc.) vim, (abl.) vī; (pl.) vīrēs, strength",Noun: 3rd Declension,War and Peace,115
vīta -ae f.,vita,life,Noun: 1st Declension,Life and Being,87
vitium -ī n.,vitium,"flaw, fault, crime",Noun: 2nd Declension,Justice,326
vītō -āre,vito,"avoid, shun",Verb: 1st Conjugation,Social Life,881
vīvō vīvere vīxī vīctum,vivo,live,Verb: 3rd Conjugation -ō,Life and Being,156
vix,vix,scarcely,Adverb,Conjunctions/Adverbs,352
ūllus -a -um,ullus,"any, anyone",Adjective: 1st and 2nd Declension,Pronouns/Interrogatives,178
ultimus -a -um,ultimus,"farthest, final, last, ultimate",Adjective: 1st and 2nd Declension,Geography,432
ultrā,ultra,"beyond, further (adv. and prep. + acc.)",Preposition,Place,600
umbra -ae f.,umbra,"shade, shadow",Noun: 1st Declension,Vision,257
umquam,umquam,ever,Adverb,Time,482
unda -ae f.,unda,"wave, flowing water, water",Noun: 1st Declension,Earth and Water,207
unde,unde,from where,Adverb,Place,300
undique,undique,"from all sides, on all sides",Adverb,Place,686
ūnus -a -um,unus,one,Adjective: 1st and 2nd Declension,Measurement,53
vocō -āre,voco,call,Verb: 1st Conjugation,Speech/Oratory,158
volō velle voluī,volo,"wish, be willing",Verb: Irregular,Emotions,66
volucer -cris -cre,volucer,flying,Adjective: 3rd Declension,Animals/Plants,977
volucris -is f./m.,volucris,bird,Noun: 3rd Declension,Animals/Plants,976
